Country/Region;Lat;Long;Anzahl der Datensätze;Date;Deaths;Province/State
Algeria;28.0339;1.6596;1;11.03.2020;0;
Algeria;28.0339;1.6596;1;12.03.2020;1;
Algeria;28.0339;1.6596;1;13.03.2020;2;
Algeria;28.0339;1.6596;1;14.03.2020;3;
Algeria;28.0339;1.6596;1;15.03.2020;4;
Algeria;28.0339;1.6596;1;16.03.2020;4;
Algeria;28.0339;1.6596;1;17.03.2020;4;
Algeria;28.0339;1.6596;1;18.03.2020;7;
Algeria;28.0339;1.6596;1;19.03.2020;9;
Algeria;28.0339;1.6596;1;02.03.2020;0;
Algeria;28.0339;1.6596;1;20.03.2020;11;
Algeria;28.0339;1.6596;1;21.03.2020;15;
Algeria;28.0339;1.6596;1;22.03.2020;17;
Algeria;28.0339;1.6596;1;23.03.2020;17;
Algeria;28.0339;1.6596;1;24.03.2020;19;
Algeria;28.0339;1.6596;1;25.03.2020;21;
Algeria;28.0339;1.6596;1;26.03.2020;25;
Algeria;28.0339;1.6596;1;27.03.2020;26;
Algeria;28.0339;1.6596;1;28.03.2020;29;
Algeria;28.0339;1.6596;1;29.03.2020;31;
Algeria;28.0339;1.6596;1;03.03.2020;0;
Algeria;28.0339;1.6596;1;30.03.2020;35;
Algeria;28.0339;1.6596;1;31.03.2020;44;
Algeria;28.0339;1.6596;1;04.03.2020;0;
Algeria;28.0339;1.6596;1;05.03.2020;0;
Algeria;28.0339;1.6596;1;06.03.2020;0;
Algeria;28.0339;1.6596;1;07.03.2020;0;
Algeria;28.0339;1.6596;1;08.03.2020;0;
Algeria;28.0339;1.6596;1;09.03.2020;0;
Andorra;42.5063;1.5218;1;22.01.2020;0;
Andorra;42.5063;1.5218;1;23.01.2020;0;
Andorra;42.5063;1.5218;1;24.01.2020;0;
Andorra;42.5063;1.5218;1;25.01.2020;0;
Andorra;42.5063;1.5218;1;26.01.2020;0;
Andorra;42.5063;1.5218;1;27.01.2020;0;
Andorra;42.5063;1.5218;1;28.01.2020;0;
Andorra;42.5063;1.5218;1;29.01.2020;0;
Andorra;42.5063;1.5218;1;30.01.2020;0;
Andorra;42.5063;1.5218;1;31.01.2020;0;
Andorra;42.5063;1.5218;1;01.02.2020;0;
Andorra;42.5063;1.5218;1;10.02.2020;0;
Andorra;42.5063;1.5218;1;11.02.2020;0;
Andorra;42.5063;1.5218;1;12.02.2020;0;
Andorra;42.5063;1.5218;1;13.02.2020;0;
Andorra;42.5063;1.5218;1;14.02.2020;0;
Andorra;42.5063;1.5218;1;15.02.2020;0;
Andorra;42.5063;1.5218;1;16.02.2020;0;
Andorra;42.5063;1.5218;1;17.02.2020;0;
Andorra;42.5063;1.5218;1;18.02.2020;0;
Andorra;42.5063;1.5218;1;19.02.2020;0;
Andorra;42.5063;1.5218;1;02.02.2020;0;
Andorra;42.5063;1.5218;1;20.02.2020;0;
Andorra;42.5063;1.5218;1;21.02.2020;0;
Andorra;42.5063;1.5218;1;22.02.2020;0;
Andorra;42.5063;1.5218;1;23.02.2020;0;
Andorra;42.5063;1.5218;1;24.02.2020;0;
Andorra;42.5063;1.5218;1;25.02.2020;0;
Andorra;42.5063;1.5218;1;26.02.2020;0;
Andorra;42.5063;1.5218;1;27.02.2020;0;
Andorra;42.5063;1.5218;1;28.02.2020;0;
Andorra;42.5063;1.5218;1;29.02.2020;0;
Andorra;42.5063;1.5218;1;03.02.2020;0;
Andorra;42.5063;1.5218;1;04.02.2020;0;
Andorra;42.5063;1.5218;1;05.02.2020;0;
Andorra;42.5063;1.5218;1;06.02.2020;0;
Andorra;42.5063;1.5218;1;07.02.2020;0;
Andorra;42.5063;1.5218;1;08.02.2020;0;
Andorra;42.5063;1.5218;1;09.02.2020;0;
Andorra;42.5063;1.5218;1;01.03.2020;0;
Andorra;42.5063;1.5218;1;10.03.2020;0;
Andorra;42.5063;1.5218;1;11.03.2020;0;
Andorra;42.5063;1.5218;1;12.03.2020;0;
Andorra;42.5063;1.5218;1;13.03.2020;0;
Andorra;42.5063;1.5218;1;14.03.2020;0;
Andorra;42.5063;1.5218;1;15.03.2020;0;
Andorra;42.5063;1.5218;1;16.03.2020;0;
Andorra;42.5063;1.5218;1;17.03.2020;0;
Andorra;42.5063;1.5218;1;18.03.2020;0;
Andorra;42.5063;1.5218;1;19.03.2020;0;
Andorra;42.5063;1.5218;1;02.03.2020;0;
Andorra;42.5063;1.5218;1;20.03.2020;0;
Andorra;42.5063;1.5218;1;21.03.2020;0;
Andorra;42.5063;1.5218;1;22.03.2020;1;
Andorra;42.5063;1.5218;1;23.03.2020;1;
Andorra;42.5063;1.5218;1;24.03.2020;1;
Andorra;42.5063;1.5218;1;25.03.2020;1;
Andorra;42.5063;1.5218;1;26.03.2020;3;
Andorra;42.5063;1.5218;1;27.03.2020;3;
Andorra;42.5063;1.5218;1;28.03.2020;3;
Andorra;42.5063;1.5218;1;29.03.2020;6;
Andorra;42.5063;1.5218;1;03.03.2020;0;
Andorra;42.5063;1.5218;1;30.03.2020;8;
Andorra;42.5063;1.5218;1;31.03.2020;12;
Andorra;42.5063;1.5218;1;04.03.2020;0;
Andorra;42.5063;1.5218;1;05.03.2020;0;
Andorra;42.5063;1.5218;1;06.03.2020;0;
Andorra;42.5063;1.5218;1;07.03.2020;0;
Andorra;42.5063;1.5218;1;08.03.2020;0;
Andorra;42.5063;1.5218;1;09.03.2020;0;
Angola;-11.2027;17.8739;1;22.01.2020;0;
Angola;-11.2027;17.8739;1;23.01.2020;0;
Angola;-11.2027;17.8739;1;24.01.2020;0;
Angola;-11.2027;17.8739;1;25.01.2020;0;
Angola;-11.2027;17.8739;1;26.01.2020;0;
Angola;-11.2027;17.8739;1;27.01.2020;0;
Angola;-11.2027;17.8739;1;28.01.2020;0;
Angola;-11.2027;17.8739;1;29.01.2020;0;
Angola;-11.2027;17.8739;1;30.01.2020;0;
Angola;-11.2027;17.8739;1;31.01.2020;0;
Angola;-11.2027;17.8739;1;01.02.2020;0;
Angola;-11.2027;17.8739;1;10.02.2020;0;
Angola;-11.2027;17.8739;1;11.02.2020;0;
Angola;-11.2027;17.8739;1;12.02.2020;0;
Angola;-11.2027;17.8739;1;13.02.2020;0;
Angola;-11.2027;17.8739;1;14.02.2020;0;
Angola;-11.2027;17.8739;1;15.02.2020;0;
Angola;-11.2027;17.8739;1;16.02.2020;0;
Angola;-11.2027;17.8739;1;17.02.2020;0;
Angola;-11.2027;17.8739;1;18.02.2020;0;
Angola;-11.2027;17.8739;1;19.02.2020;0;
Angola;-11.2027;17.8739;1;02.02.2020;0;
Angola;-11.2027;17.8739;1;20.02.2020;0;
Angola;-11.2027;17.8739;1;21.02.2020;0;
Angola;-11.2027;17.8739;1;22.02.2020;0;
Angola;-11.2027;17.8739;1;23.02.2020;0;
Angola;-11.2027;17.8739;1;24.02.2020;0;
Angola;-11.2027;17.8739;1;25.02.2020;0;
Angola;-11.2027;17.8739;1;26.02.2020;0;
Angola;-11.2027;17.8739;1;27.02.2020;0;
Angola;-11.2027;17.8739;1;28.02.2020;0;
Angola;-11.2027;17.8739;1;29.02.2020;0;
Angola;-11.2027;17.8739;1;03.02.2020;0;
Angola;-11.2027;17.8739;1;04.02.2020;0;
Angola;-11.2027;17.8739;1;05.02.2020;0;
Angola;-11.2027;17.8739;1;06.02.2020;0;
Angola;-11.2027;17.8739;1;07.02.2020;0;
Angola;-11.2027;17.8739;1;08.02.2020;0;
Angola;-11.2027;17.8739;1;09.02.2020;0;
Angola;-11.2027;17.8739;1;01.03.2020;0;
Angola;-11.2027;17.8739;1;10.03.2020;0;
Angola;-11.2027;17.8739;1;11.03.2020;0;
Angola;-11.2027;17.8739;1;12.03.2020;0;
Angola;-11.2027;17.8739;1;13.03.2020;0;
Angola;-11.2027;17.8739;1;14.03.2020;0;
Angola;-11.2027;17.8739;1;15.03.2020;0;
Angola;-11.2027;17.8739;1;16.03.2020;0;
Angola;-11.2027;17.8739;1;17.03.2020;0;
Angola;-11.2027;17.8739;1;18.03.2020;0;
Angola;-11.2027;17.8739;1;19.03.2020;0;
Angola;-11.2027;17.8739;1;02.03.2020;0;
Angola;-11.2027;17.8739;1;20.03.2020;0;
Angola;-11.2027;17.8739;1;21.03.2020;0;
Angola;-11.2027;17.8739;1;22.03.2020;0;
Angola;-11.2027;17.8739;1;23.03.2020;0;
Angola;-11.2027;17.8739;1;24.03.2020;0;
Angola;-11.2027;17.8739;1;25.03.2020;0;
Angola;-11.2027;17.8739;1;26.03.2020;0;
Angola;-11.2027;17.8739;1;27.03.2020;0;
Angola;-11.2027;17.8739;1;28.03.2020;0;
Angola;-11.2027;17.8739;1;29.03.2020;2;
Angola;-11.2027;17.8739;1;03.03.2020;0;
Angola;-11.2027;17.8739;1;30.03.2020;2;
Angola;-11.2027;17.8739;1;31.03.2020;2;
Angola;-11.2027;17.8739;1;04.03.2020;0;
Angola;-11.2027;17.8739;1;05.03.2020;0;
Angola;-11.2027;17.8739;1;06.03.2020;0;
Angola;-11.2027;17.8739;1;07.03.2020;0;
Angola;-11.2027;17.8739;1;08.03.2020;0;
Angola;-11.2027;17.8739;1;09.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;22.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;23.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;24.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;25.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;26.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;27.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;28.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;29.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;30.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;31.01.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;01.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;10.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;11.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;12.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;13.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;14.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;15.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;16.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;17.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;18.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;19.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;02.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;20.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;21.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;22.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;23.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;24.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;25.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;26.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;27.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;28.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;29.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;03.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;04.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;05.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;06.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;07.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;08.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;09.02.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;01.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;10.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;11.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;12.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;13.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;14.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;15.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;16.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;17.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;18.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;19.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;02.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;20.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;21.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;22.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;23.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;24.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;25.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;26.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;27.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;28.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;29.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;03.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;30.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;31.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;04.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;05.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;06.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;07.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;08.03.2020;0;
Antigua and Barbuda;17.0608;-61.7964;1;09.03.2020;0;
Argentina;-38.4161;-63.6167;1;22.01.2020;0;
Argentina;-38.4161;-63.6167;1;23.01.2020;0;
Argentina;-38.4161;-63.6167;1;24.01.2020;0;
Argentina;-38.4161;-63.6167;1;25.01.2020;0;
Argentina;-38.4161;-63.6167;1;26.01.2020;0;
Argentina;-38.4161;-63.6167;1;27.01.2020;0;
Argentina;-38.4161;-63.6167;1;28.01.2020;0;
Argentina;-38.4161;-63.6167;1;29.01.2020;0;
Argentina;-38.4161;-63.6167;1;30.01.2020;0;
Argentina;-38.4161;-63.6167;1;31.01.2020;0;
Argentina;-38.4161;-63.6167;1;01.02.2020;0;
Argentina;-38.4161;-63.6167;1;10.02.2020;0;
Argentina;-38.4161;-63.6167;1;11.02.2020;0;
Argentina;-38.4161;-63.6167;1;12.02.2020;0;
Argentina;-38.4161;-63.6167;1;13.02.2020;0;
Argentina;-38.4161;-63.6167;1;14.02.2020;0;
Argentina;-38.4161;-63.6167;1;15.02.2020;0;
Argentina;-38.4161;-63.6167;1;16.02.2020;0;
Argentina;-38.4161;-63.6167;1;17.02.2020;0;
Argentina;-38.4161;-63.6167;1;18.02.2020;0;
Argentina;-38.4161;-63.6167;1;19.02.2020;0;
Argentina;-38.4161;-63.6167;1;02.02.2020;0;
Argentina;-38.4161;-63.6167;1;20.02.2020;0;
Argentina;-38.4161;-63.6167;1;21.02.2020;0;
Argentina;-38.4161;-63.6167;1;22.02.2020;0;
Argentina;-38.4161;-63.6167;1;23.02.2020;0;
Argentina;-38.4161;-63.6167;1;24.02.2020;0;
Argentina;-38.4161;-63.6167;1;25.02.2020;0;
Argentina;-38.4161;-63.6167;1;26.02.2020;0;
Argentina;-38.4161;-63.6167;1;27.02.2020;0;
Argentina;-38.4161;-63.6167;1;28.02.2020;0;
Argentina;-38.4161;-63.6167;1;29.02.2020;0;
Argentina;-38.4161;-63.6167;1;03.02.2020;0;
Argentina;-38.4161;-63.6167;1;04.02.2020;0;
Argentina;-38.4161;-63.6167;1;05.02.2020;0;
Argentina;-38.4161;-63.6167;1;06.02.2020;0;
Argentina;-38.4161;-63.6167;1;07.02.2020;0;
Argentina;-38.4161;-63.6167;1;08.02.2020;0;
Argentina;-38.4161;-63.6167;1;09.02.2020;0;
Argentina;-38.4161;-63.6167;1;01.03.2020;0;
Argentina;-38.4161;-63.6167;1;10.03.2020;1;
Argentina;-38.4161;-63.6167;1;11.03.2020;1;
Argentina;-38.4161;-63.6167;1;12.03.2020;1;
Argentina;-38.4161;-63.6167;1;13.03.2020;2;
Argentina;-38.4161;-63.6167;1;14.03.2020;2;
Argentina;-38.4161;-63.6167;1;15.03.2020;2;
Argentina;-38.4161;-63.6167;1;16.03.2020;2;
Argentina;-38.4161;-63.6167;1;17.03.2020;2;
Argentina;-38.4161;-63.6167;1;18.03.2020;2;
Argentina;-38.4161;-63.6167;1;19.03.2020;3;
Argentina;-38.4161;-63.6167;1;02.03.2020;0;
Argentina;-38.4161;-63.6167;1;20.03.2020;3;
Argentina;-38.4161;-63.6167;1;21.03.2020;4;
Argentina;-38.4161;-63.6167;1;22.03.2020;4;
Argentina;-38.4161;-63.6167;1;23.03.2020;4;
Argentina;-38.4161;-63.6167;1;24.03.2020;6;
Argentina;-38.4161;-63.6167;1;25.03.2020;8;
Argentina;-38.4161;-63.6167;1;26.03.2020;9;
Argentina;-38.4161;-63.6167;1;27.03.2020;13;
Argentina;-38.4161;-63.6167;1;28.03.2020;18;
Argentina;-38.4161;-63.6167;1;29.03.2020;19;
Argentina;-38.4161;-63.6167;1;03.03.2020;0;
Argentina;-38.4161;-63.6167;1;30.03.2020;23;
Argentina;-38.4161;-63.6167;1;31.03.2020;27;
Argentina;-38.4161;-63.6167;1;04.03.2020;0;
Argentina;-38.4161;-63.6167;1;05.03.2020;0;
Argentina;-38.4161;-63.6167;1;06.03.2020;0;
Argentina;-38.4161;-63.6167;1;07.03.2020;0;
Argentina;-38.4161;-63.6167;1;08.03.2020;1;
Argentina;-38.4161;-63.6167;1;09.03.2020;1;
Armenia;40.0691;45.0382;1;22.01.2020;0;
Armenia;40.0691;45.0382;1;23.01.2020;0;
Armenia;40.0691;45.0382;1;24.01.2020;0;
